==== zs_oxygen_b4_rec_20260922_205535_2.txt
SPAWN t=7.88 Roma p=[1432, -844, -95]
t= 10.18 Ruslan bot          st=wander   intent=wander   p=[1126, -488, -96] wish=[0.65, -0.76] goal=[1417, -878, -94] path ok=1 reach=1 i=2 n=11 len=622 endp=[1417, -878, -94] door=None comp=2120 gcomp=None mode=path
t= 10.39 Roma   bot          st=wander   intent=wander   p=[1283, -843, -96] wish=[1, 0.05] goal=[1257, -686, -94] path ok=1 reach=1 i=11 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t= 10.39 Ruslan bot          st=wander   intent=wander   p=[1139, -504, -96] wish=[0.53, -0.85] goal=[1417, -878, -94] path ok=1 reach=1 i=2 n=11 len=622 endp=[1417, -878, -94] door=None comp=2120 gcomp=None mode=path
t= 10.61 Roma   bot          st=wander   intent=wander   p=[1304, -841, -96] wish=[0.93, 0.36] goal=[1257, -686, -94] path ok=1 reach=1 i=1 n=8 len=245 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t= 10.61 Ruslan bot          st=wander   intent=wander   p=[1149, -522, -96] wish=[0.31, -0.95] goal=[1417, -878, -94] path ok=1 reach=1 i=2 n=11 len=622 endp=[1417, -878, -94] door=None comp=2120 gcomp=None mode=path
t= 10.82 Roma   bot          st=wander   intent=wander   p=[1323, -834, -96] wish=[0.88, 0.48] goal=[1257, -686, -94] path ok=1 reach=1 i=2 n=8 len=245 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t= 10.82 Ruslan bot          st=wander   intent=wander   p=[1155, -542, -96] wish=[0.14, -0.99] goal=[1417, -878, -94] path ok=1 reach=1 i=3 n=11 len=622 endp=[1417, -878, -94] door=None comp=2120 gcomp=None mode=path
==== zs_oxygen_b4_bug_20260922_205552_2_hopeless_roma.txt
SPAWN t=3.88 Roma p=[1432, -844, -95]
t=  4.06 Roma   bot          st=hunt     intent=hunt     p=[1430, -844, -96] wish=[-1, -0.04] goal=[1349, 443, -64] path ok=1 reach=0 i=1 n=16 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  4.27 Roma   bot          st=hunt     intent=hunt     p=[1393, -845, -96] wish=[-1, -0.01] goal=[1352, 441, -64] path ok=1 reach=0 i=1 n=16 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  4.48 Roma   bot          st=hunt     intent=hunt     p=[1351, -846, -96] wish=[-1, 0] goal=[1362, 436, -64] path ok=1 reach=0 i=2 n=16 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  4.70 Roma   bot          st=hunt     intent=hunt     p=[1308, -843, -96] wish=[-1, 0] goal=[1378, 435, -64] path ok=1 reach=0 i=2 n=16 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  4.91 Roma   bot          st=hunt     intent=hunt     p=[1266, -836, -96] wish=[-0.97, 0.23] goal=[1380, 435, -64] path ok=1 reach=0 i=2 n=16 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  5.12 Roma   bot          st=hunt     intent=hunt     p=[1225, -824, -96] wish=[-0.48, 0.88] goal=[1377, 431, -64] path ok=1 reach=0 i=3 n=16 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  5.33 Roma   bot          st=hunt     intent=hunt     p=[1204, -786, -96] wish=[-0.13, 0.99] goal=[1378, 428, -64] path ok=1 reach=0 i=3 n=16 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  5.55 Roma   bot          st=hunt     intent=hunt     p=[1197, -744, -96] wish=[-0.05, 1] goal=[1378, 426, -64] path ok=1 reach=0 i=4 n=16 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  5.76 Roma   bot          st=hunt     intent=hunt     p=[1194, -702, -96] wish=[-0.13, 0.99] goal=[1378, 426, -64] path ok=1 reach=0 i=4 n=16 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  5.97 Roma   bot          st=hunt     intent=hunt     p=[1186, -660, -96] wish=[-0.29, 0.96] goal=[1378, 426, -64] path ok=1 reach=0 i=4 n=16 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  6.18 Roma   bot          st=hunt     intent=hunt     p=[1176, -618, -96] wish=[-0.16, 0.99] goal=[1378, 426, -64] path ok=1 reach=0 i=5 n=16 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  6.39 Roma   bot          st=hunt     intent=hunt     p=[1169, -576, -96] wish=[-0.18, 0.98] goal=[1378, 426, -64] path ok=1 reach=0 i=6 n=16 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  6.61 Roma   bot          st=hunt     intent=hunt     p=[1159, -534, -96] wish=[-0.34, 0.94] goal=[1378, 426, -64] path ok=1 reach=0 i=1 n=13 len=894 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
